0,1,2
"u;a;, மத்தைMattla",,
මුලතිව් முல்லைத்தீவுMullaitivu,36.1,0.027.2
"úÿ,s n,d.dr wdY%","; c,dY  நீர்மின் நீரேந்துப் பேப்பு Hydro Catchment Areas",
කාසල්රීகாசல்றீச்Castlereigh,6.0,රන්නෙණිගල இ ந்மதனிகைRandenigala0.0
න ෝටන්ந ாட்டன்Norton,5.8,රන්ටැනේ இ ந்தம்நபRantambe0.0
මාඕස්සාකැනල්රம ௌசக்கநை Maussakele,4.4,නෙෝවතැන්  நபாவத்தன்னBowatenna0.0
කැනියන්கன்யன்Canyon,4.5,උකුනවලஉக்குவைUkuwela0.0
ලක්ෂපා ைக்சபானLakshapana,5.0,සම ළවැවச னைமவவSamanala Wawa0.0
ඉහල නකාත්මනල්රந ல்மகாத் லைUpper Kotmale,4.1,කුකුනල්ර ගංඟ குக்குநேகங்கKukuleganaga7.0
නකාත්මනල්ර மகாத் லைKotmale,2.5,මස්නකළිය ஸ்நகலியMaskeliya NA
වික්නටෝරියාவிக்ந ாறியா Victoriya,0.0,ෑෙඩ ாமபாலடNeboda NA
නෙන්නතාට වත්ත மபந்நதாட்டவத்தBenthotawatta,10.0,ගුරුළුවා  குறுழுவான Guruluwana5.6
උඩුගම உடுக  Udugama (AWS),9.5,කුඩාව குடாவ Kudawa (AWS)5.5
දුම්මලසූරියதும் ைசூரிய Dummalasooriya,8.3,විතා කන්ෙ වතුයාය விதானகந்த நதாட்டம் Vithanakanda Estate (AWS)
පාදුක්ක பாதுக்லக Padukka Estate,8.2,නෙනියාය නත් වතුයාය மதணியாய நத. மதா. Deniyaya Tea Estate (AWS)
මතුගම  த்துக  Mathugama,7.6,ඩන්කල්ර් වතු කර්. டன்மகல்ட் நதாட்ட .மதா. Dunkeld Estate Factory (AWS)
තලංගහ වත්ත தைங்ஹக நதாட்டம்Thalangaha Estate,7.5,මාකදුර  නත්.කර්  ாகந்து  நத. மதா. Makandura TF (AWS)5.0
නෙල්රවල නත්.කර්. மதல்ைவ நத. மதா. Dellawa TF (AWS),7.5,නපෝද්දිනවල நபாதிவை நதாட்டம் Poddiwela Farm4.9
කුරුවිට குருவிட்ட Kuruvita (AWS),7.0,නෙෝනගාඩ නත්.කර්. நபாமகாலட நத. மதா. Bogoda TF (AWS)4.5
කෑරගල கா கை Karagala,6.4,කැටන්නොළகட்டன்மதாைKethendola4.4
නෙනියායமதனியாய Deniyaya,6.0,වටවල வட்டவாைா Watawala4.2
