0,1
tspkz;lytpay;  epiyaq;fs;epoypy; ntg;gepiy( nr)kio tPo;r;rp(kp..kP),
"upÝmcaH Maxavm ,opTMin.Daily Rainfall",
0.031.524.3wkqrdOmqrhஅநுராதபுரம்Anuradhapura,
0.0,
"30.519.6nÿ,a, பதுளைBadulla",
0.0,
"28.919.0nKavdrfj, பண்டாரவளைBandarawela",
0.0,
"34.226.6uvl,mqj மட்டக்கைப்புBatticaloa",
1.8,
31.325.1fld<U ககாழும்புColombo,
0.0,
"30.125.2.d,a, காலிGalle",
0.0,
31.025.1yïnkaf;dg ம்பாந்ததாட்ளடHambanthota,
0.0,
32.127.7hdmkh  யாழ்ப்பாணம்Jaffna,
0.0,
"34.221.8fudKrd., கமானறாகளல Monaragala",
5.028.721.5,
lgq.iaf;dg  கட்டுகஸ்ததாட்ளட Katugasthota,
16.931.924.3,
lgqkdhl  கட்டுநாயக்காKatunayake,
11.631.624.0,
"l=reKE., குருணாகல் Kurunagala",
0.431.824.5,
"uy b¨mam,a,u மஹாஇலுப்பல்லம Maha Illuppallama",
0.031.427.7,
ukakdru மன்னார்Mannar,
0.035.727.0,
fmdf<dkakrej  கபாலன்நறுவ polonnaruwa,
1.019.114.9,
kqjrt<sh  நுவகரலியாNuwara Eliya,
0.036.525.6,
"fmd;=ú,a கபாத்துவில்Pothuvil",
43.431.524.9,
"m;a;,u புத்தைம்Puttalam",
3.033.025.0,
"r;au,dk இரத்மலாளனRathmalana",
5.332.923.1,
r;akmqrh இரத்தினபுரிRathnapura,
0.034.426.3,
";%sl=Kdu,h திருதகாணமளலTrincomalee",
0.033.725.2,
jõkshdj வவுனியாVavuniya,
0.034.024.2,
"u;a;, மத்தைMattla",
0.034.526.5මුලතිව් முல்லைத்தீவுMullaitivu,
"úÿ,s n,d.dr wdY%; c,dY  நீர்மின் நீரேந்துப் பேப்பு Hydro Catchment Areas",
රන්නෙණි ල இ ந்மெனிகைRandenigala6.0කාසල්රීகாசல்றீச்Castlereigh,0.0
රන්ටැනේ இ ந்ெம்நபRantambe21.5න ෝටන්ந ாட்டன்Norton,0.0
නබෝවතැන්  நபாவத்ென்னBowatenna3.0මාඕස්සාකැනල්රம ௌசக்கநை Maussakele,1.1
උකුනවලஉக்குவைUkuwela8.2කැනියන්கன்யன்Canyon,2.9
සම ළවැවச னைமவவSamanala Wawa47.2ලක්ෂපා ைக்சபானLakshapana,0.0
කුකුනල්ර  ංඟ குக்குநைகங்கKukuleganaga7.4ඉහල නකාත්මනල්රந ல்மகாத் லைUpper Kotmale,4.0
මස්නකළිය ஸ்நகலியMaskeliya 11.8නකාත්මනල්ර மகாத் லைKotmale,NA
ෑබ  ாமபாலடNeboda 0.0වික්නටෝරියාவிக்ந ாறியா Victoriya,0.0
65.2කිරිදිනවල கிரிந்திவை Kirindiwela (AWS)දුම්මලසූරියதும் ைசூரிய Dummalasooriya,22.5
60.0මැල්රනකෝපිවත්ත ம ல்நகாப்பிவத்லெ Melkopiwatta (AWS)නෙහිවල மெகிவலை Dehiwala,22.0
51.0කු ාව குடாவ Kudawa (AWS)යට්ටපාත யட்டபத்ெ Yattapatha (AWS),21.0
49.8පස්යාල பஸ்யாை Pasyala (AWS)වරකානපාල வறக்காமபாை Warakapola,19.0
46.5හිඳවஹினிது Hindawaකුලියාපිටිය குளியாபிட்டிய Kuliyapitiya,18.1
45.7දුනුමනල්ර වතුයාය துனு லை நொட்டம் Dunumale Estate (AWS)මාරවිල  ாறவிை Marawila,18.0
41.3උඳුන ා உந்துமகாடUndugodaන ානරාචනචාලි நுல ச்நசாலை  Norochcholai,17.8
වතුපිටිවල வத்துப்பிட்மவலை Wathupitiwala (AWS)මන ාල්රතැන්  වතුයාය  மடால்ென்லன நொட்டம் Madolthenna Estate (AWS),17.5
24.0තබනබෝව ெப்நபாவ Tabbowaකළුපහ  වතුයාය கலுபஹன நொட்டம் Kalupahana Estate (AWS),17.2
23.5පාලවී பாைாவி Palaviදිව්ලපිටිය திவுைபிட்டிய Divulapitiya (AWS),16.9
65.2Wmßu j¾Idm;kh  / அதிகூடிய மழைவீழ்ச்சி/ Highest Rainfall :mm,
(Puttalam District),
