0,1,2
epoypy; ntg;gepiy( nr)tspkz;lytpay;  epiyaq;fs;,kio tPo;r;rp(kp..kP),
Temperature in the shade,,
"upÝmcaHMaxavm,opTMin",Daily Rainfall,
32.724.8wkqrdOmqrh அநுராதபுரம் Anuradhapura,0.0,
31.218.8,0.0,
"nÿ,a, பதுளை Badulla",,
27.318.5,0.0,
"nKavdrfj, பண்டாரவளை Bandarawela",,
34.227.3,0.0,
"uvl,mqj மட்டக்கைப்பு Batticaloa",,
30.827.3,0.5,
fld<U ககாழும்பு Colombo,,
29.325.0,6.6,
".d,a, காலி Galle",,
30.026.3,0.0,
yïnkaf;dg ம்பாந்ததாட்ளட Hambanthota,,
33.227.6,0.0,
hdmkh  யாழ்ப்பாணம்J affna,,
35.022.7,0.0,
"fudKrd., கமானறாகளல Monaragala",,
29.422.0,0.4,
lgq.iaf;dg  கட்டுகஸ்ததாட்ளட Katugasthota,,
31.226.5,TR,
lgqkdhl  கட்டுநாயக்கா Katunayake,,
32.626.0,TR,
"l=reKE., குருணாகல் Kurunagala",,
32.225.7,0.0,
"uy b¨mam,a,u மஹாஇலுப்பல்லம Maha Illuppallama",,
31.528.2,0.0,
ukakdru மன்னார் Mannar,,
36.126.7,0.0,
fmdf<dkakrej  கபாலன்நறுவ polonnaruwa,,
18.814.5,TR,
kqjrt<sh  நுவகரலியா Nuwara Eliya,,
35.825.9,0.0,
"fmd;=ú,a கபாத்துவில் Pothuvil",,
32.227.6,0.0,
"m;a;,u புத்தைம் Puttalam",,
32.627.7,0.0,
"r;au,dk இரத்மலாளன Rathmalana",,
32.824.0,0.7,
r;akmqrh இரத்தினபுரி Rathnapura,,
35.426.2,0.0,
";%sl=Kdu,h திருதகாணமளல Trincomalee",,
35.125.5,0.0,
jõkshdj வவுனியா Vavuniya,,
34.525.3,0.0,
"u;a;, மத்தை Mattala",,
36.027.0මුලතිව් முல்லைத்தீவு Mullaitivu,0.0,
"úÿ,s n,d.dr wdY%; c,dY  நீர்மின் நீரேந்துப் பேப்பு Hydro Catchment Areas",,
රන්නදණිගල இ ந்மதனிகை Randenigala0.5කාසල්රී காசல்றீச் Castlereigh,,0.0
රන්ටැනේ இ ந்தம்நப Rantambe2.0න ෝටන් ந ாட்டன் Norton,,0.0
න ෝවතැන්  நபாவத்தன்ன Bowatenna0.0මාඕස්සාකැනල්ර ம ௌசக்கநை  Maussakele,,0.0
උකුනවල உக்குவை Ukuwela0.4කැනියන් கன்யன் Canyon,,0.0
සම ළවැව ச னைமவவ Samanala Wawa1.0ලක්ෂපා  ைக்சபான Lakshapana,,0.0
කුකුනල්ර ගංඟ குக்குநேகங்க Kukuleganaga1.5ඉහල නකාත්මනල්ර ந ல்மகாத் லை Upper Kotmale,,5.0
මස්නකළිය  ஸ்நகலிய Maskeliya 0.0නකාත්මනල්ර மகாத் லை Kotmale,,NA
ෑ ඩ  ாமபாலட Neboda 0.0වික්නටෝරියා விக்ந ாறியா  Victoriya,,NA
7.9වටවල வட்டவாைா Watawala,සිරිකදුර වතුයාය சிறிகந்து  நதாட்டம் Sirikandura Estate (AWS),3.5
6.5මාදම්නේ  ாதம்நப Madampe (AWS)අල්රගම அல்க   Algama (AWS),,3.5
5.5 ෑන ාඩ ந மபாட  Neboda(AWS)අංනගාඩ அங்மகாலட Angoda,,3.5
5.0කළුතර களுத்துலை Kalutharaපස්යාල பஸ்யாலை Pasyala,,3.3
ලූල්රකඳුර லூல்கந்துை Loolkanduraමනඩාල්රතැන්  වතුයාය  மடால்தன்லன நதாட்டம் Madolthenna Estate (AWS)5.0,,3.0
5.0බූස්ස பூஸ்ஸ Boossa (AWS),නදවිතුරා වතුයාය மதவிது  நதாட்டம் Devitura Estate (AWS),3.0
5.0දැරන්ගල නත්.කර්  மத ங்கை நத. மதா. Derangala TF (AWS),ඇල්රලකන්ද වත්ත எல்ைகந் த வத்த Ellakanda Watta (AWS),3.0
4.5නිරිඇල්රල நிரிமயல்ை Niriella (AWS)අයිවරි හිල්රස් නත්.කර්. ஐவி ஹில்ஸ் நத. மதா. Ivy Hills TF (AWS),,3.0
4.5කිරිදිනවල கிரிந்திவை Kirindiwelaකළුපහ  වතුයාය கலுபஹன நதாட்டம்  Kalupahana Estate (AWS),,2.9
3.5උඩරදැල්රල உடைதல்ை Udaradellaඋඳුනගාඩ உந்துமகாட Undugoda,,2.8
