0,1,2
"u;a;, மத்தை Mattala",,
"36.0
මුලතිව් முல்லைத்தீவு Mullaitivu","0.0
27.0",
"úÿ,s n,d.dr wdY%
; c,dY  நீர்மின் நீரேந்துப் பேப்பு Hydro Catchment Areas",,
"ÉÉ-kp..kP-mm
vR;`m`n Sw`n kio tPo;rp epiyaq;fs;   Rainfall Stations",vR;`m`n Sw`n kio tPo;rp epiyaq;fs;        Rainfall Stations,ÉÉ-kp..kP-mm
"0.5
කාසල්රී காசல்றீச் Castlereigh",රන්නදණිගල இ ந்மதனிகை Randenigala,0.0
"2.0
න ෝටන් ந ாட்டன் Norton",රන්ටැනේ இ ந்தம்நப Rantambe,0.0
"0.0
මාඕස්සාකැනල්ර ம ௌசக்கநை  Maussakele",න ෝවතැන්  நபாவத்தன்ன Bowatenna,0.0
"0.4
කැනියන් கன்யன் Canyon",උකුනවල உக்குவை Ukuwela,0.0
"1.0
ලක්ෂපා  ைக்சபான Lakshapana",සම ළවැව ச னைமவவ Samanala Wawa,0.0
"1.5
ඉහල නකාත්මනල්ර ந ல்மகாத் லை Upper Kotmale",කුකුනල්ර ගංඟ குக்குநேகங்க Kukuleganaga,5.0
"0.0
නකාත්මනල්ර மகாத் லை Kotmale",මස්නකළිය  ஸ்நகலிய Maskeliya,NA
"0.0
වික්නටෝරියා விக்ந ாறியா  Victoriya",ෑ ඩ  ாமபாலட Neboda,NA
wksl=;a j¾Idm;k ia:dk ஏலைய நிலையங்ைளின் மலைவீழ்ச்சி Other Rainfall Stations,,
"ÉÉ-kp..kP-mm
vR;`m`nSw`n kio tPo;rp epiyaq;fs;  Rainfall Stations",vR;`m`n Sw`n kio tPo;rp epiyaq;fs; Rainfall Stations,ÉÉ-kp..kP-mm
"7.9
වටවල வட்டவாைா Watawala",සිරිකදුර වතුයාය சிறிகந்து  நதாட்டம் Sirikandura Estate (AWS),3.5
"6.5
අල්රගම அல்க   Algama (AWS)",මාදම්නේ  ாதம்நப Madampe (AWS),3.5
"5.5
අංනගාඩ அங்மகாலட Angoda",ෑන ාඩ ந மபாட  Neboda(AWS),3.5
"5.0
පස්යාල பஸ்யாலை Pasyala",කළුතර களுத்துலை Kaluthara,3.3
මනඩාල්රතැන්  වතුයාය  மடால்தன்லன நதாட்டம் Madolthenna Estate (AWS)5.0,ලූල්රකඳුර லூல்கந்துை Loolkandura,3.0
"5.0
බූස්ස பூஸ்ஸ Boossa (AWS)",නදවිතුරා වතුයාය மதவிது  நதாட்டம் Devitura Estate (AWS),3.0
"5.0
දැරන්ගල නත්.කර්  மத ங்கை நத. மதா. Derangala TF (AWS)",ඇල්රලකන්ද වත්ත எல்ைகந் த வத்த Ellakanda Watta (AWS),3.0
"4.5
අයිවරි හිල්රස් නත්.කර්. ஐவி ஹில்ஸ் நத. மதா. Ivy Hills TF (AWS)",නිරිඇල්රල நிரிமயல்ை Niriella (AWS),3.0
"4.5
කළුපහ  වතුයාය கலுபஹன நதாட்டம்  Kalupahana Estate (AWS)",කිරිදිනවල கிரிந்திவை Kirindiwela,2.9
"3.5
උඳුනගාඩ உந்துமகாட Undugoda",උඩරදැල්රල உடைதல்ை Udaradella,2.8
